------------------------------------------------------------------------------------
Date: 12/20/2024 -- 14:10:27 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 16261
capture.afpacket.polls                        | Total                     | 13934
capture.afpacket.poll_timeout                 | Total                     | 3218
capture.afpacket.poll_data                    | Total                     | 10716
decoder.pkts                                  | Total                     | 16259
decoder.bytes                                 | Total                     | 15894726
decoder.ipv4                                  | Total                     | 16232
decoder.ipv6                                  | Total                     | 8
decoder.ethernet                              | Total                     | 16259
decoder.arp                                   | Total                     | 19
decoder.tcp                                   | Total                     | 16144
tcp.syn                                       | Total                     | 17
tcp.synack                                    | Total                     | 17
tcp.rst                                       | Total                     | 8
decoder.udp                                   | Total                     | 88
decoder.icmpv4                                | Total                     | 8
decoder.avg_pkt_size                          | Total                     | 977
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 15
flow.total                                    | Total                     | 58
flow.active                                   | Total                     | 39
flow.tcp                                      | Total                     | 24
flow.udp                                      | Total                     | 34
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
flow.wrk.flows_evicted_needs_work             | Total                     | 2
